var,cohort,module,iscategorical,pvalue,std_error,N,coef,var_desc,percmissing,ratiocovdatapoints,unique_val_counts,h,adj_p
LBXF02,0,15,0,0.418231985,0.022370273,3566,-0.018331525,"1,2,3,7,8-pncdf (fg/g)",0.838591531,0.002804262,443,0,0.537029396
LBXF03,0,15,0,0.020810508,0.016781011,3548,-0.040680279,"2,3,4,7,8-pncdf (fg/g)",0.839491101,0.002818489,1303,0,0.050870131
LBXF04,0,15,0,0.432591647,0.016632814,3539,0.013209665,"1,2,3,4,7,8-hcxdf (fg/g)",0.840037268,0.002825657,1141,0,0.551178546
LBXF05,0,15,0,0.880202616,0.020893287,3556,0.003172649,"1,2,3,6,7,8-hxcdf (fg/g)",0.839298336,0.002812148,1037,0,0.93256406
LBXF06,0,15,0,0.528965949,0.022768371,3527,-0.014483115,"1,2,3,7,8,9-hxcdf (fg/g)",0.840583435,0.002835271,430,0,0.646896687
LBXF07,0,15,0,0.916856135,0.024850314,3535,-0.002613596,"2,3,4,6,7,8-hxcdf (fg/g)",0.84000514,0.002828854,572,0,0.950019491
LBXF08,0,15,0,0.343681045,0.022767936,3421,0.021864189,"1,2,3,4,6,7,8-hpcdf (fg/g)",0.846237872,0.002923122,1393,0,0.46865597
LBXF09,0,15,0,0.936796527,0.025690465,2374,0.002062952,"1,2,3,4,7,8,9-hpcdf (fg/g)",0.85463825,0.0042123,398,0,0.958675771
LBXF10,0,15,0,0.881696929,0.021844265,3507,0.003275356,"1,2,3,4,6,7,8,9-ocdf (fg/g)",0.841450877,0.00285144,1306,0,0.93256406
LBXFB,0,4,0,0.608039368,0.018974764,4881,0.009895482,Fibrinogen (mg/dL),0.729099219,0.00204876,413,0,0.716617827
LBXFER,0,4,0,0.045522068,0.00986756,11347,-0.020249266,Ferritin (ng/mL),0.45344071,0.00088129,658,0,0.094479763
LBXFOL,0,21,0,3.24E-13,0.010536102,17604,-0.103850731,"Folate, serum (ng/mL)",0.220644259,0.000568053,594,1,1.53E-11
LBXGH,0,4,0,0.384761531,0.008612595,17764,0.007553322,Glycohemoglobin (%),0.36258861,0.000562936,115,0,0.503854386
LBXGHC,0,25,0,0.027270474,0.015000822,3949,-0.034607959,Gamma-hexachlorocyclohexane (ng/g),0.805982137,0.002532287,214,0,0.062931864
LBXGLU,0,4,0,0.895356442,0.00900742,8707,-0.001190907,Fasting Glucose (mg/dL),0.692023919,0.001148501,1124,0,0.943986025
LBXGLUSI,0,4,0,0.370170243,0.013210623,4297,0.012126204,Plasma glucose: SI(mmol/L),0.691677776,0.002327205,1008,0,0.495424194
LBXGLY_lab_detectable,0,-1,0,1.10E-05,0.015993868,8532,0.092906747,Glycideamide (pmoL/G Hb),0.279872985,0.001172058,1097,1,8.85E-05
LBXGTC,0,21,0,4.25E-22,0.009956181,16974,0.168418887,Gamma tocopherol (ug/dL),0.295389883,0.000589136,2383,1,1.40E-19
LBXHCB,0,25,0,0.001775418,0.02239796,3926,-0.075970619,Hexachlorobenzene (ng/g),0.809162758,0.002547122,1112,1,0.006368349
LBXHCT,0,5,0,0.899887888,0.007597148,17790,-0.00096071,Hematocrit (%),0.187008728,0.000562114,303,0,0.944672047
LBXHCY,0,4,0,0.000729006,0.008528601,17246,0.030747522,Homocysteine (umol/L),0.314052177,0.000579845,1825,1,0.002970023
LBXHGB,0,5,0,0.918478154,0.007072474,17790,-0.000727616,Hemoglobin (g/dL),0.187008728,0.000562114,123,0,0.950019491
LBXHPE,0,25,0,0.28684269,0.017566877,3790,0.019008341,Heptachlor Epoxide (ng/g),0.813307203,0.002638522,857,0,0.408008999
LBXHXC,0,23,0,0.10155841,0.016829221,3535,-0.028321769,"3,3',4,4',5,5'-hxcb (fg/g)",0.840101523,0.002828854,2261,0,0.182142801
LBXIN,0,17,0,0.000111908,0.013808863,8581,0.058012211,Insulin (uU/mL ),0.696653325,0.001165365,2703,1,0.000682052
LBXINSI,0,17,0,0.00448091,0.01739603,4220,0.056060892,Insulin: SI(pmol/L),0.696962483,0.002369668,1969,1,0.01344273
LBXIRN,0,21,0,0.00223009,0.01123251,11874,-0.036251002,Iron (ug/dL),0.452886146,0.000842176,254,1,0.007586904
LBXLUZ,0,21,0,2.23E-14,0.014109241,13663,-0.175136021,Combined Lutein/zeaxanthin (ug/dL),0.274016948,0.000731904,2393,1,1.23E-12
LBXLYC,0,21,0,0.000378828,0.013090823,13663,0.051485957,trans-Lycopene (ug/dL),0.274175632,0.000731904,2966,1,0.001760751
LBXLYPCT,0,5,0,0.690293983,0.00836495,17696,0.003352852,Lymphocyte percent (%),0.189733327,0.000565099,553,0,0.796493058
LBXMC,0,5,0,0.767706372,0.012468207,17790,-0.003703313,MCHC (g/dL),0.187008728,0.000562114,90,0,0.852190303
LBXMCHSI,0,5,0,0.000988803,0.009571773,17790,-0.033541421,Mean cell hemoglobin (pg),0.187008728,0.000562114,221,1,0.003794245
LBXMCVSI,0,5,0,6.72E-05,0.008580577,17790,-0.037388161,Mean cell volume (fL),0.187008728,0.000562114,465,1,0.000443493
LBXMIR,0,25,0,0.076081422,0.030413097,3979,0.055645575,Mirex (ng/g),0.805275333,0.002513194,691,0,0.144955711
LBXMMA,0,4,0,3.27E-06,0.01050838,12935,0.058363286,Methylmalonic acid (umol/L),0.242048448,0.000773096,521,1,3.09E-05
LBXMOPCT,0,5,0,0.000966537,0.009062015,17696,-0.03182396,Monocyte percent (%),0.189733327,0.000565099,193,1,0.003752438
LBXMPAH,0,31,0,0.000167971,0.024816655,3986,0.104909564,2-(N-methyl-PFOSA) acetate,0.809265648,0.002508781,65,1,0.000955697
LBXMPSI,0,5,0,0.336772853,0.009689277,17790,-0.009399335,Mean platelet volume (fL),0.18703284,0.000562114,77,0,0.465523587
LBXNEPCT,0,5,0,0.686101562,0.008042609,17696,0.003269803,Segmented neutrophils percent (%),0.189733327,0.000565099,626,0,0.794433388
LBXODT,0,25,0,0.395119144,0.028020574,3824,-0.024133472,"o,p'-DDT (ng/g)",0.810640622,0.002615063,272,0,0.514430676
LBXOXY,0,25,0,0.053345678,0.0123515,3823,0.02472424,Oxychlordane (ng/g),0.810833387,0.002615747,1333,0,0.107341913
LBXPCB,0,23,0,0.000245669,0.020950295,3536,-0.08581368,"3,3',4,4',5-pncb (fg/g)",0.839940885,0.002828054,2433,1,0.001307592
LBXPDE,0,25,0,0.003177778,0.015300246,4085,-0.048578599,"p,p'-DDE (ng/g)",0.800231318,0.00244798,3549,1,0.010181229
LBXPDT,0,25,0,0.00377646,0.014772826,3865,-0.045937485,"p,p'-DDT (ng/g)",0.80887361,0.002587322,972,1,0.011647026
LBXPFDE,0,31,0,0.793202711,0.024182833,3986,0.006389675,Perfluorodecanoic acid,0.809265648,0.002508781,49,0,0.875441119
LBXPFHP,0,31,0,0.737412357,0.022975715,3986,0.007766685,Perfluoroheptanoic acid,0.809265648,0.002508781,35,0,0.828571285
LBXPFHS,0,31,0,0.918636539,0.022329688,3986,0.002298018,Perfluorohexane sulfonic acid,0.809265648,0.002508781,172,0,0.950019491
LBXPFNA,0,31,0,0.117378858,0.026284069,3986,0.042229437,Perfluorononanoic acid,0.809265648,0.002508781,88,0,0.204947213
LBXPFOA,0,31,0,0.000155038,0.022569844,3986,0.096033302,Perfluorooctanoic acid,0.809265648,0.002508781,186,1,0.00089759
LBXPFOS,0,31,0,0.000896073,0.025704379,3986,0.093568073,Perfluorooctane sulfonic acid,0.809265648,0.002508781,714,1,0.003520288
LBXPFSA,0,31,0,0.003975133,0.023588377,3986,0.072889231,Perfluorooctane sulfonamide,0.809265648,0.002508781,35,1,0.012146239
LBXPFUA,0,31,0,0.021641205,0.023283381,3986,-0.056052675,Perfluoroundecanoic acid,0.809265648,0.002508781,43,0,0.05212845
LBXPLTSI,0,5,0,0.003173107,0.009335834,17790,0.02897334,Platelet count (%) SI,0.18703284,0.000562114,504,1,0.010181229
LBXPT21,0,17,0,0.000489512,0.012249377,9062,0.050897304,Parathyroid Hormone(Elecys method) pg/mL,0.282364436,0.001103509,195,1,0.002212861
LBXRBCSI,0,5,0,0.03396006,0.008855268,17790,0.019319263,Red blood cell count (million cells/uL),0.187008728,0.000562114,363,0,0.074712132
LBXRBF,0,21,0,9.22E-11,0.011002416,17710,-0.090303045,"Folate, RBC (ng/mL RBC)",0.209818199,0.000564653,818,1,3.04E-09
LBXRDW,0,5,0,0.095111506,0.009446809,17790,0.016077532,Red cell distribution width (%),0.187008728,0.000562114,128,0,0.172454929
LBXRPL,0,21,0,2.77E-09,0.013149993,16414,-0.095266745,Retinyl Palmitate (ug/dL),0.321647297,0.000609236,657,1,5.41E-08
LBXRST,0,21,0,3.86E-07,0.012780291,15595,-0.074877475,Retinyl Stearate (ug/dL),0.362685056,0.000641231,286,1,4.72E-06
LBXSAL,0,4,0,0.000186622,0.008776207,17521,-0.035475112,Albumin (g/dL),0.37196798,0.000570744,36,1,0.001043816
LBXSAPSI,0,4,0,5.06E-05,0.010799072,17521,0.047981089,Alkaline phosphatase (U/L),0.371992091,0.000570744,241,1,0.000371346
LBXSASSI,0,4,0,1.59E-10,0.008470038,17450,-0.068195986,AST (U/L),0.374113903,0.000573066,149,1,4.38E-09
LBXSATSI,0,4,0,9.00E-08,0.009214192,17451,-0.057764202,ALT (U/L),0.374089791,0.000573033,187,1,1.35E-06
LBXSBU,0,4,0,2.79E-09,0.011288445,17521,-0.081767781,Blood urea nitrogen (mg/dL),0.37196798,0.000570744,72,1,5.41E-08
LBXSC3SI,0,4,0,0.07306496,0.011318819,17452,-0.020733684,Bicarbonate (mmol/L),0.374017457,0.000573,27,0,0.140182771
LBXSCA,0,4,0,0.319121935,0.010470422,17521,-0.010538432,"Calcium, total (mg/dL)",0.37196798,0.000570744,46,0,0.444346998
LBXSCH,0,4,0,0.536961415,0.008839047,17522,-0.005496044,Cholesterol (mg/dL),0.371943868,0.000570711,315,0,0.653864454
LBXSCLSI,0,4,0,1.64E-07,0.010368189,17518,0.063250978,Chloride (mmol/L),0.37213676,0.000570841,216,1,2.25E-06
LBXSCR,0,4,0,0.014524987,0.009977574,17521,0.02528294,Creatinine (mg/dL),0.37196798,0.000570744,78,1,0.038345964
LBXSCRINV,0,4,0,0.012595432,0.009843599,17521,-0.025497635,1/Creatinine (mg/dL),0.37196798,0.000570744,78,1,0.033520101
LBXSEL,0,21,0,0.10272096,0.028125323,2613,-0.05608248,Selenium (ng/mL),0.796435506,0.003827019,132,0,0.183231982
LBXSGB,0,4,0,0.303227132,0.008840088,17505,-0.009197871,Globulin (g/dL),0.372401987,0.000571265,51,0,0.427628007
LBXSGL,0,4,0,0.05262145,0.008469475,17522,-0.016821938,Glucose (mg/dL),0.37196798,0.000570711,332,0,0.107021497
LBXSGTSI,0,4,0,0.395955733,0.008521731,17519,-0.00729785,GGT (U/L),0.372040314,0.000570809,299,0,0.514430676
LBXSIR,0,4,0,0.002884623,0.010380802,17515,-0.032566518,Iron (ug/dL),0.372184983,0.000570939,262,1,0.009519256
LBXSKSI,0,4,0,0.000348375,0.009953989,17520,-0.038270318,Potassium (mmol/L),0.372016203,0.000570776,236,1,0.001690645
LBXSLDSI,0,17,0,0.000845115,0.010251102,17447,-0.036457153,LDH (U/L),0.374186237,0.000573164,272,1,0.003401071
LBXSNASI,0,4,0,0.001517859,0.0125796,17520,0.042264031,Sodium (mmol/L),0.371992091,0.000570776,180,1,0.005565483
LBXSOSSI,0,4,0,0.707369703,0.011302686,17520,-0.004267722,Osmolality (mOsml/L),0.371992091,0.000570776,67,0,0.8121211
LBXSPH,0,4,0,0.021007899,0.012236978,17519,-0.029181397,Phosphorus (mg/dL),0.372040314,0.000570809,55,0,0.05097505
LBXSTB,0,4,0,0.146500559,0.010425785,17516,-0.01538227,"Bilirubin, total (mg/dL)",0.372160872,0.000570907,39,0,0.245407028
LBXSTP,0,4,0,0.000271549,0.008837277,17505,-0.034677833,"Protein, total (g/dL)",0.372401987,0.000571265,53,1,0.001378634
LBXSTR,0,4,0,0.003587039,0.01212569,17517,0.03710186,Triglycerides (mg/dL),0.372112649,0.000570874,653,1,0.011167196
LBXSUA,0,4,0,0.357010242,0.008680631,17519,-0.008071634,Uric acid (mg/dL),0.372040314,0.000570809,112,0,0.482841721
LBXTC,0,4,0,0.317462759,0.008913116,17549,-0.009002137,Total Cholesterol (mg/dL),0.256160486,0.000569833,312,0,0.44390979
LBXTC2,0,23,0,0.296962915,0.023546374,3519,-0.024940999,"3,4,4',5-tcb (fg/g)",0.840711945,0.002841716,1710,0,0.420591253
LBXTCD,0,12,0,0.348396974,0.019676257,3550,-0.018708943,"2,3,7,8-tcdd (fg/g)",0.839298336,0.002816901,760,0,0.473131693
LBXTFR,0,4,0,0.189604865,0.025187964,2772,0.034146617,Transferrin Receptor (mg/L),0.713922814,0.003246753,110,0,0.299220223
LBXTIB,0,4,0,0.241492435,0.011128646,11837,-0.013194283,TIBC (ug/dL),0.454863288,0.000844809,453,0,0.368946775
LBXTNA,0,25,0,0.286014569,0.01327162,4065,0.014385753,Trans-nonachlor (ng/g),0.801644927,0.002460025,1619,0,0.408008999
LBXTR,0,4,0,0.267458526,0.016553174,8614,0.018567633,Triglyceride (mg/dL),0.656170131,0.001160901,534,0,0.387439779
LBXV3A,0,40,0,0.337329238,0.028406279,1452,-0.027960772,"Blood 1,1,1-Trichloroethane (ng/mL)",0.918454722,0.006887052,76,0,0.465523587
LBXV4C,0,40,0,0.83929414,0.020138297,4595,-0.004105732,Blood Tetrachloroethene (ng/mL),0.862540387,0.002176279,542,0,0.908088742
LBXVBF,0,40,0,0.083781416,0.02135943,4369,0.037832142,Blood Bromoform (pg/mL),0.868278922,0.002288853,692,0,0.15620264
