var,cohort,module,iscategorical,pvalue,std_error,N,coef,var_desc,percmissing,ratiocovdatapoints,unique_val_counts,h,adj_p
LBX099,0,23,0,0.016826207,0.012661394,3966,-0.031834029,PCB99 (ng/g),0.805468097,0.002521432,858,0,0.055526484
LBX101,0,23,0,0.309912249,0.018535124,4015,-0.019105992,PCB101 (ng/g),0.802962154,0.00249066,403,0,0.46913322
LBX105,0,23,0,0.196758997,0.01281196,3990,-0.016869004,PCB105 (ng/g),0.803990233,0.002506266,471,0,0.349415689
LBX110,0,23,0,0.303294899,0.018051814,2827,0.019073374,PCB110 (ng/g),0.802466802,0.003537319,288,0,0.463367206
LBX118,0,23,0,0.021283789,0.011141229,4005,-0.026901115,PCB118 (ng/g),0.803379811,0.002496879,1125,0,0.065641592
LBX128,0,23,0,0.810207082,0.020388295,3997,0.004934679,PCB128 (ng/g),0.803958106,0.002501876,126,0,0.918791537
LBX138,0,23,0,0.130722514,0.012890319,4008,-0.019962721,PCB138 & 158 (ng/g),0.803411939,0.00249501,1605,0,0.254935883
LBX146,0,23,0,0.007442717,0.014883762,4004,-0.042365418,PCB146 (ng/g),0.803508321,0.002497502,737,1,0.032317062
LBX149,0,23,0,0.312803644,0.0236877,2831,0.024528133,PCB149 (ng/g),0.802466802,0.003532321,173,0,0.471347957
LBX151,0,23,0,0.599970286,0.025152148,2830,0.013403744,PCB151 (ng/g),0.802608572,0.003533569,135,0,0.733297016
LBX153,0,23,0,0.038867649,0.012506537,4013,-0.026872611,PCB153 (ng/g),0.803122791,0.002491901,1828,0,0.10600268
LBX156,0,23,0,0.533448288,0.014940135,3985,0.009399756,PCB156 (ng/g),0.804568528,0.00250941,813,0,0.682317577
LBX157,0,23,0,0.976616017,0.016456271,3970,-0.000485923,PCB157 (ng/g),0.805660862,0.002518892,338,0,0.989481262
LBX167,0,23,0,0.247052955,0.015837648,3972,-0.018653661,PCB167 (ng/g),0.804986185,0.002517623,360,0,0.407637375
LBX170,0,23,0,0.39982343,0.014120137,3909,-0.012039449,PCB170 (ng/g),0.807652766,0.002558199,1143,0,0.568714361
LBX172,0,23,0,0.154443525,0.016017256,3950,-0.02332823,PCB172 (ng/g),0.807941914,0.002531646,400,0,0.287945555
LBX177,0,23,0,0.025583073,0.016395256,3955,-0.038283135,PCB177 (ng/g),0.805885755,0.002528445,509,0,0.075831175
LBX178,0,23,0,0.201634319,0.016722925,4006,-0.02177494,PCB178 (ng/g),0.803444066,0.002496256,480,0,0.350651445
LBX180,0,23,0,0.269036875,0.013187357,4009,-0.014817849,PCB180 (ng/g),0.803315556,0.002494388,1672,0,0.428899367
LBX183,0,23,0,0.020855847,0.014456423,4010,-0.035031587,PCB183 (ng/g),0.803379811,0.002493766,563,0,0.064928581
LBX187,0,23,0,0.012898344,0.014451339,4013,-0.037930714,PCB187 (ng/g),0.803187046,0.002491901,1038,1,0.046774214
LBX189,0,23,0,0.370500084,0.026710206,2791,0.024470733,PCB189 (ng/g),0.805538491,0.003582945,154,0,0.538612457
LBX194,0,23,0,0.814125316,0.017245245,2787,0.004108362,PCB194 (ng/g),0.805585747,0.003588088,892,0,0.920073131
LBX195,0,23,0,0.381351041,0.027077839,2756,0.024238887,PCB195 (ng/g),0.808610179,0.003628447,354,0,0.547155842
LBX196,0,23,0,0.840949813,0.0173544,2833,0.00352826,PCB196 & 203 (ng/g),0.802608572,0.003529827,796,0,0.93331026
LBX206,0,23,0,0.073883396,0.019347509,2760,0.036492108,PCB206 (ng/g),0.80742876,0.003623188,696,0,0.169316115
LBX2DF,0,40,0,0.906346159,0.034297919,3370,-0.00408928,"Blood 2,5-Dimethylfuran (ng/mL)",0.785832926,0.002967359,158,0,0.971085171
LBXACR_lab_detectable,0,-1,0,4.40E-05,0.014162765,8660,0.073571711,Acrylamide (pmoL/G Hb),0.272545188,0.001154734,1112,1,0.000440002
LBXALC,0,21,0,2.07E-13,0.015117042,13663,-0.173428992,Alpha-carotene (ug/dL),0.274080421,0.000731904,1326,1,2.28E-11
LBXALD,0,25,0,0.803137909,0.019007731,2868,0.004801786,Aldrin (ng/g),0.800529276,0.00348675,154,0,0.916404419
LBXB12,0,21,0,0.000136529,0.012544753,17541,-0.051930069,Vitamin B12 ( pg/mL),0.222886628,0.000570093,1395,1,0.001185647
LBXBAP,0,4,0,0.000398638,0.011750841,10999,0.046149151,Bone alkaline phosphotase (ug/L),0.394911007,0.000909174,464,1,0.002859795
LBXBAPCT,0,5,0,0.998547655,0.009511074,17696,1.74E-05,Basophils percent (%),0.189733327,0.000565099,67,0,0.998547655
LBXBEC,0,21,0,1.56E-12,0.013193091,13670,-0.140603117,trans-Beta carotene (ug/dL),0.273858263,0.000731529,3006,1,1.03E-10
LBXBHC,0,25,0,0.000150826,0.014055462,4038,-0.059938141,Beta-hexachlorocyclohexane (ng/g),0.802640879,0.002476474,1705,1,0.001276222
LBXCBC,0,21,0,1.91E-12,0.012363001,13271,-0.130774304,cis-Beta carotene (ug/dL),0.294074709,0.000753523,546,1,1.05E-10
LBXCPSI,0,4,0,0.018893066,0.014831341,6392,0.0365646,C-peptide: SI(nmol/L),0.694756795,0.001564456,1614,0,0.059378208
LBXCRP,0,4,0,0.009054004,0.009126515,17635,0.024806297,C-reactive protein(mg/dL),0.22049959,0.000567054,502,1,0.037227785
LBXCRY,0,21,0,1.88E-15,0.011111752,13603,-0.150165322,b-Cryptoxanthin (ug/dL),0.277031959,0.000735132,2087,1,3.10E-13
LBXD01,0,12,0,0.307123523,0.017467241,3572,-0.018110929,"1,2,3,7,8-pncdd (fg/g)",0.838430894,0.002799552,1189,0,0.467054205
LBXD02,0,12,0,0.014314166,0.015848525,2398,0.042514252,"1,2,3,4,7,8-hxcdd (fg/g)",0.853504088,0.004170142,894,0,0.050251859
LBXD03,0,12,0,0.075873267,0.017475915,3550,0.031998738,"1,2,3,6,7,8-hxcdd (fg/g)",0.839683866,0.002816901,2573,0,0.171194305
LBXD04,0,12,0,0.030551349,0.016185607,3542,0.036529823,"1,2,3,7,8,9-hxcdd (fg/g)",0.840101523,0.002823264,1242,0,0.086795903
LBXD05,0,12,0,0.663576947,0.013315407,3537,0.005842901,"1,2,3,4,6,7,8-hpcdd (fg/g)",0.839748121,0.002827255,2709,0,0.793604296
LBXD07,0,12,0,0.039703683,0.012323702,3495,0.026360132,"1,2,3,4,6,7,8,9-ocdd (fg/g)",0.841193857,0.00286123,3277,0,0.107395207
LBXDIE,0,25,0,0.25683754,0.020470027,2809,-0.023893668,Dieldrin (ng/g),0.805727518,0.003559986,810,0,0.41958608
LBXEND,0,25,0,0.785513078,0.026492021,2736,0.007307136,Endrin (ng/g),0.810405935,0.003654971,149,0,0.903203191
LBXEOPCT,0,5,0,0.478042814,0.010162631,17696,-0.007265604,Eosinophils percent (%),0.189733327,0.000565099,189,0,0.649193945
LBXEPAH,0,31,0,0.169751682,0.038579849,3986,0.054118618,2-(N-ethyl-PFOSA) acetate,0.809265648,0.002508781,45,0,0.312950027
LBXEPP,0,4,0,0.973059345,0.01058787,11438,-0.000359399,Protoporphyrin (ug/dL RBC),0.459396248,0.000874279,264,0,0.989481262
LBXF01,0,15,0,0.823610354,0.021593654,3543,-0.004850619,"2,3,7,8-tcdf (fg/g)",0.839362591,0.002822467,415,0,0.927615757
LBXF02,0,15,0,0.939102455,0.021276,3566,0.001637509,"1,2,3,7,8-pncdf (fg/g)",0.838591531,0.002804262,443,0,0.987913773
LBXF03,0,15,0,0.196943388,0.01796741,3548,-0.023646998,"2,3,4,7,8-pncdf (fg/g)",0.839491101,0.002818489,1303,0,0.349415689
LBXF04,0,15,0,0.211218858,0.019778882,3539,0.025203072,"1,2,3,4,7,8-hcxdf (fg/g)",0.840037268,0.002825657,1141,0,0.364933105
LBXF05,0,15,0,0.555275818,0.023559444,3556,-0.014035961,"1,2,3,6,7,8-hxcdf (fg/g)",0.839298336,0.002812148,1037,0,0.696733917
LBXF06,0,15,0,0.427726913,0.02107928,3527,0.016920223,"1,2,3,7,8,9-hxcdf (fg/g)",0.840583435,0.002835271,430,0,0.595569119
LBXF07,0,15,0,0.491194789,0.022334188,3535,0.01554332,"2,3,4,6,7,8-hxcdf (fg/g)",0.84000514,0.002828854,572,0,0.658919839
LBXF08,0,15,0,0.420709124,0.025188225,3421,0.020529994,"1,2,3,4,6,7,8-hpcdf (fg/g)",0.846237872,0.002923122,1393,0,0.589746286
LBXF09,0,15,0,0.991189402,0.026203597,2374,0.000292996,"1,2,3,4,7,8,9-hpcdf (fg/g)",0.85463825,0.0042123,398,0,0.994202135
LBXF10,0,15,0,0.958144608,0.020736212,3507,0.001096332,"1,2,3,4,6,7,8,9-ocdf (fg/g)",0.841450877,0.00285144,1306,0,0.987913773
LBXFB,0,4,0,0.485165421,0.018953691,4881,0.013493493,Fibrinogen (mg/dL),0.729099219,0.00204876,413,0,0.653488118
LBXFER,0,4,0,0.043359707,0.009672756,11347,-0.020060887,Ferritin (ng/mL),0.45344071,0.00088129,658,0,0.114469627
LBXFOL,0,21,0,0.03763726,0.0115006,17604,-0.02457385,"Folate, serum (ng/mL)",0.220644259,0.000568053,594,0,0.104372232
LBXGH,0,4,0,0.541173938,0.009175905,17764,0.005646355,Glycohemoglobin (%),0.36258861,0.000562936,115,0,0.689526639
LBXGHC,0,25,0,0.360481874,0.019499017,3949,-0.018074777,Gamma-hexachlorocyclohexane (ng/g),0.805982137,0.002532287,214,0,0.526367338
LBXGLU,0,4,0,0.50179899,0.010980459,8707,-0.007430118,Fasting Glucose (mg/dL),0.692023919,0.001148501,1124,0,0.665034807
LBXGLUSI,0,4,0,0.845635659,0.01730702,4297,0.003415852,Plasma glucose: SI(mmol/L),0.691677776,0.002327205,1008,0,0.93331026
LBXGLY_lab_detectable,0,-1,0,7.95E-07,0.014856672,8532,0.104563068,Glycideamide (pmoL/G Hb),0.279872985,0.001172058,1097,1,1.75E-05
LBXGTC,0,21,0,6.88E-12,0.01232161,16974,0.110338083,Gamma tocopherol (ug/dL),0.295389883,0.000589136,2383,1,3.25E-10
LBXHCB,0,25,0,0.025239718,0.022752735,3926,-0.053261918,Hexachlorobenzene (ng/g),0.809162758,0.002547122,1112,0,0.075719153
LBXHCT,0,5,0,0.841338599,0.006613761,17790,-0.001330999,Hematocrit (%),0.187008728,0.000562114,303,0,0.93331026
LBXHCY,0,4,0,0.017076946,0.008544932,17246,0.021098719,Homocysteine (umol/L),0.314052177,0.000579845,1825,0,0.055795964
LBXHGB,0,5,0,0.967523774,0.00635665,17790,0.000260132,Hemoglobin (g/dL),0.187008728,0.000562114,123,0,0.989481262
LBXHPE,0,25,0,0.96097067,0.01547541,3790,0.000762899,Heptachlor Epoxide (ng/g),0.813307203,0.002638522,857,0,0.987913773
LBXHXC,0,23,0,0.060735189,0.017296286,3535,-0.033551484,"3,3',4,4',5,5'-hxcb (fg/g)",0.840101523,0.002828854,2261,0,0.146296441
LBXIN,0,17,0,0.002903207,0.012397097,8581,0.038863915,Insulin (uU/mL ),0.696653325,0.001165365,2703,1,0.015207273
LBXINSI,0,17,0,0.081350695,0.016574877,4220,0.030507975,Insulin: SI(pmol/L),0.696962483,0.002369668,1969,0,0.18017268
LBXIRN,0,21,0,0.011811138,0.012943161,11874,-0.033852041,Iron (ug/dL),0.452886146,0.000842176,254,1,0.044800869
LBXLUZ,0,21,0,9.30E-16,0.013651438,13663,-0.188917195,Combined Lutein/zeaxanthin (ug/dL),0.274016948,0.000731904,2393,1,3.07E-13
LBXLYC,0,21,0,0.249159041,0.010917147,13663,-0.012793636,trans-Lycopene (ug/dL),0.274175632,0.000731904,2966,0,0.409067083
LBXLYPCT,0,5,0,0.095010734,0.008953138,17696,-0.015242131,Lymphocyte percent (%),0.189733327,0.000565099,553,0,0.206273304
LBXMC,0,5,0,0.862380495,0.011764003,17790,0.002049974,MCHC (g/dL),0.187008728,0.000562114,90,0,0.947118014
LBXMCHSI,0,5,0,0.107517519,0.00858548,17790,-0.014075776,Mean cell hemoglobin (pg),0.187008728,0.000562114,221,0,0.22436294
LBXMCVSI,0,5,0,0.05311517,0.008466021,17790,-0.016778738,Mean cell volume (fL),0.187008728,0.000562114,465,0,0.134830815
LBXMIR,0,25,0,0.955678727,0.027580686,3979,-0.0015442,Mirex (ng/g),0.805275333,0.002513194,691,0,0.987913773
LBXMMA,0,4,0,0.001746253,0.011501702,12935,0.039082153,Methylmalonic acid (umol/L),0.242048448,0.000773096,521,1,0.010109883
LBXMOPCT,0,5,0,0.224730293,0.010406396,17696,-0.012795374,Monocyte percent (%),0.189733327,0.000565099,193,0,0.384253868
LBXMPAH,0,31,0,0.000306291,0.019988647,3986,0.080342464,2-(N-methyl-PFOSA) acetate,0.809265648,0.002508781,65,1,0.002350604
LBXMPSI,0,5,0,0.015839205,0.008351135,17790,-0.020872888,Mean platelet volume (fL),0.18703284,0.000562114,77,0,0.053885954
LBXNEPCT,0,5,0,0.069904311,0.009698342,17696,0.017971359,Segmented neutrophils percent (%),0.189733327,0.000565099,626,0,0.162453682
LBXODT,0,25,0,0.058366965,0.021399582,3824,-0.041919682,"o,p'-DDT (ng/g)",0.810640622,0.002615063,272,0,0.143165947
LBXOXY,0,25,0,0.514133889,0.012125333,3823,0.007994429,Oxychlordane (ng/g),0.810833387,0.002615747,1333,0,0.668737382
LBXPCB,0,23,0,0.000543948,0.019190296,3536,-0.073266614,"3,3',4,4',5-pncb (fg/g)",0.839940885,0.002828054,2433,1,0.003663324
LBXPDE,0,25,0,6.10E-07,0.010835658,4085,-0.06626784,"p,p'-DDE (ng/g)",0.800231318,0.00244798,3549,1,1.44E-05
LBXPDT,0,25,0,7.33E-05,0.014975496,3865,-0.06755074,"p,p'-DDT (ng/g)",0.80887361,0.002587322,972,1,0.000691267
LBXPFDE,0,31,0,0.049523758,0.02492014,3986,-0.050755695,Perfluorodecanoic acid,0.809265648,0.002508781,49,0,0.127002863
LBXPFHP,0,31,0,0.731206083,0.029836893,3986,-0.010334325,Perfluoroheptanoic acid,0.809265648,0.002508781,35,0,0.85871177
LBXPFHS,0,31,0,0.837485731,0.02131668,3986,-0.004405919,Perfluorohexane sulfonic acid,0.809265648,0.002508781,172,0,0.93331026
LBXPFNA,0,31,0,0.289209434,0.027097784,3986,-0.029175299,Perfluorononanoic acid,0.809265648,0.002508781,88,0,0.450184496
LBXPFOA,0,31,0,0.014944163,0.020876685,3986,0.053524404,Perfluorooctanoic acid,0.809265648,0.002508781,186,0,0.051370559
LBXPFOS,0,31,0,0.148030333,0.02768487,3986,0.040978843,Perfluorooctane sulfonic acid,0.809265648,0.002508781,714,0,0.279142913
LBXPFSA,0,31,0,0.125178243,0.028062181,3986,0.044117754,Perfluorooctane sulfonamide,0.809265648,0.002508781,35,0,0.247600053
LBXPFUA,0,31,0,2.98E-05,0.021296294,3986,-0.102543099,Perfluoroundecanoic acid,0.809265648,0.002508781,43,1,0.000313271
LBXPLTSI,0,5,0,0.006377654,0.008052203,17790,0.022949076,Platelet count (%) SI,0.18703284,0.000562114,504,1,0.028949917
LBXPT21,0,17,0,0.049646574,0.011275611,9062,0.023560596,Parathyroid Hormone(Elecys method) pg/mL,0.282364436,0.001103509,195,0,0.127002863
LBXRBCSI,0,5,0,0.266305769,0.0074623,17790,0.00839089,Red blood cell count (million cells/uL),0.187008728,0.000562114,363,0,0.428612778
LBXRBF,0,21,0,0.016736195,0.01122067,17710,-0.027796702,"Folate, RBC (ng/mL RBC)",0.209818199,0.000564653,818,0,0.055526484
LBXRDW,0,5,0,0.007919697,0.008301944,17790,0.02298712,Red cell distribution width (%),0.187008728,0.000562114,128,1,0.033941558
LBXRPL,0,21,0,1.78E-06,0.014253687,16414,-0.077319148,Retinyl Palmitate (ug/dL),0.321647297,0.000609236,657,1,3.13E-05
LBXRST,0,21,0,0.012180639,0.014380914,15595,-0.037439262,Retinyl Stearate (ug/dL),0.362685056,0.000641231,286,1,0.045164167
LBXSAL,0,4,0,0.001273218,0.009828398,17521,-0.033606627,Albumin (g/dL),0.37196798,0.000570744,36,1,0.00763931
LBXSAPSI,0,4,0,1.53E-08,0.009869021,17521,0.066768404,Alkaline phosphatase (U/L),0.371992091,0.000570744,241,1,4.60E-07
LBXSASSI,0,4,0,4.11E-06,0.008306279,17450,-0.043058037,AST (U/L),0.374113903,0.000573066,149,1,6.45E-05
LBXSATSI,0,4,0,4.73E-07,0.009018794,17451,-0.052321549,ALT (U/L),0.374089791,0.000573033,187,1,1.20E-05
LBXSBU,0,4,0,7.46E-13,0.009289003,17521,-0.089250517,Blood urea nitrogen (mg/dL),0.37196798,0.000570744,72,1,6.15E-11
LBXSC3SI,0,4,0,0.121057039,0.01153991,17452,0.018207135,Bicarbonate (mmol/L),0.374017457,0.000573,27,0,0.243590383
LBXSCA,0,4,0,0.125166223,0.009719938,17521,0.015164327,"Calcium, total (mg/dL)",0.37196798,0.000570744,46,0,0.247600053
LBXSCH,0,4,0,0.076000827,0.009102553,17522,-0.016500538,Cholesterol (mg/dL),0.371943868,0.000570711,315,0,0.171194305
LBXSCLSI,0,4,0,0.026672733,0.012539894,17518,0.028655051,Chloride (mmol/L),0.37213676,0.000570841,216,0,0.077893823
LBXSCR,0,4,0,0.000776726,0.009242611,17521,0.033128489,Creatinine (mg/dL),0.37196798,0.000570744,78,1,0.004836219
LBXSCRINV,0,4,0,0.000702098,0.009151593,17521,-0.033106762,1/Creatinine (mg/dL),0.37196798,0.000570744,78,1,0.004455625
LBXSEL,0,21,0,0.51333213,0.02579078,2613,-0.018135345,Selenium (ng/mL),0.796435506,0.003827019,132,0,0.668737382
LBXSGB,0,4,0,0.134772086,0.008913712,17505,-0.013554738,Globulin (g/dL),0.372401987,0.000571265,51,0,0.258574351
LBXSGL,0,4,0,0.056075275,0.008295756,17522,-0.016233574,Glucose (mg/dL),0.37196798,0.000570711,332,0,0.141258327
LBXSGTSI,0,4,0,0.008419856,0.0091519,17519,-0.025128296,GGT (U/L),0.372040314,0.000570809,299,1,0.035622468
LBXSIR,0,4,0,0.006404073,0.01072547,17515,-0.030551501,Iron (ug/dL),0.372184983,0.000570939,262,1,0.028949917
LBXSKSI,0,4,0,0.042561338,0.011488122,17520,-0.02392133,Potassium (mmol/L),0.372016203,0.000570776,236,0,0.113268078
LBXSLDSI,0,17,0,0.873450243,0.011786038,17447,-0.001887099,LDH (U/L),0.374186237,0.000573164,272,0,0.947118014
LBXSNASI,0,4,0,0.000556439,0.013100147,17520,0.048387392,Sodium (mmol/L),0.371992091,0.000570776,180,1,0.003672499
LBXSOSSI,0,4,0,0.657626468,0.011297388,17520,0.005037618,Osmolality (mOsml/L),0.371992091,0.000570776,67,0,0.793604296
LBXSPH,0,4,0,0.517582657,0.01239322,17519,-0.008077771,Phosphorus (mg/dL),0.372040314,0.000570809,55,0,0.668737382
LBXSTB,0,4,0,0.902789439,0.012431633,17516,-0.001526263,"Bilirubin, total (mg/dL)",0.372160872,0.000570907,39,0,0.970425129
LBXSTP,0,4,0,0.000136353,0.009232721,17505,-0.038223321,"Protein, total (g/dL)",0.372401987,0.000571265,53,1,0.001185647
LBXSTR,0,4,0,0.038440051,0.011544517,17517,0.024560416,Triglycerides (mg/dL),0.372112649,0.000570874,653,0,0.10571014
LBXSUA,0,4,0,0.023517695,0.008381288,17519,-0.01959488,Uric acid (mg/dL),0.372040314,0.000570809,112,0,0.07120036
LBXTC,0,4,0,0.030773093,0.009712639,17549,-0.021603016,Total Cholesterol (mg/dL),0.256160486,0.000569833,312,0,0.086795903
LBXTC2,0,23,0,0.723514108,0.02242783,3519,-0.008000206,"3,4,4',5-tcb (fg/g)",0.840711945,0.002841716,1710,0,0.852713056
LBXTCD,0,12,0,0.752014,0.018580846,3550,-0.005918988,"2,3,7,8-tcdd (fg/g)",0.839298336,0.002816901,760,0,0.867708461
LBXTFR,0,4,0,0.016774628,0.020857756,2772,0.054196826,Transferrin Receptor (mg/L),0.713922814,0.003246753,110,0,0.055526484
LBXTIB,0,4,0,0.497122376,0.010807623,11837,-0.007393709,TIBC (ug/dL),0.454863288,0.000844809,453,0,0.661493485
LBXTNA,0,25,0,0.985218538,0.009379914,4065,-0.000175063,Trans-nonachlor (ng/g),0.801644927,0.002460025,1619,0,0.99208571
LBXTR,0,4,0,0.199632808,0.013751518,8614,0.017879008,Triglyceride (mg/dL),0.656170131,0.001160901,534,0,0.350651445
LBXV3A,0,40,0,0.319023915,0.026038109,1452,-0.026644528,"Blood 1,1,1-Trichloroethane (ng/mL)",0.918454722,0.006887052,76,0,0.478535873
LBXV4C,0,40,0,0.937417823,0.021735366,4595,0.001715351,Blood Tetrachloroethene (ng/mL),0.862540387,0.002176279,542,0,0.987913773
LBXVBF,0,40,0,0.438829651,0.022544555,4369,0.01762098,Blood Bromoform (pg/mL),0.868278922,0.002288853,692,0,0.608461281
LBXVBM,0,40,0,0.194747844,0.021173083,4491,0.027889184,Blood Bromodichloromethane (pg/mL),0.864324637,0.002226676,820,0,0.349276024
